term,early,late,G2,signed_G2
first,5,54,12.58,12.58
domestic,3,37,9.65,9.65
parent_,0,15,9.35,9.35
contact,24,123,9.06,9.06
moral,0,14,8.72,8.72
behaviour,3,34,8.27,8.27
need,0,13,8.1,8.1
development,2,27,7.54,7.54
unless,0,12,7.48,7.48
including,0,12,7.48,7.48
taken,0,12,7.48,7.48
action,0,11,6.85,6.85
measures,0,11,6.85,6.85
concerning,1,19,6.53,6.53
reunification,0,10,6.23,6.23
resides,0,10,6.23,6.23
hinder,0,10,6.23,6.23
enforcement,1,18,6.02,6.02
argued,0,9,5.61,5.61
aimed,0,9,5.61,5.61
account,1,16,5.0,5.0
circumstances,1,16,5.0,5.0
right,1,16,5.0,5.0
took,0,8,4.99,4.99
ties,0,8,4.99,4.99
objective,0,8,4.99,4.99
actions,0,8,4.99,4.99
january,0,8,4.99,4.99
activities,0,8,4.99,4.99
members,0,8,4.99,4.99
level,0,8,4.99,4.99
physical,1,15,4.5,4.5
effectiveness,1,15,4.5,4.5
significantly,0,7,4.36,4.36
meaningful,0,7,4.36,4.36
thus_,0,7,4.36,4.36
run,0,7,4.36,4.36
showed,0,7,4.36,4.36
subjected,0,7,4.36,4.36
harm,0,7,4.36,4.36
recommended,0,7,4.36,4.36
centre,0,7,4.36,4.36
regarding,0,7,4.36,4.36
freely,0,7,4.36,4.36
exposure,0,7,4.36,4.36
request,0,7,4.36,4.36
experts,1,14,4.01,4.01
psychological,6,36,3.8,3.8
similar,0,6,3.74,3.74
asked,0,6,3.74,3.74
communication,0,6,3.74,3.74
refusing,0,6,3.74,3.74
refused,0,6,3.74,3.74
means,0,6,3.74,3.74
context,0,6,3.74,3.74
feelings,0,6,3.74,3.74
fairness,0,6,3.74,3.74
signs,0,6,3.74,3.74
civil,0,6,3.74,3.74
substantial,0,6,3.74,3.74
determine,0,6,3.74,3.74
finds,0,6,3.74,3.74
features,0,6,3.74,3.74
developed,0,6,3.74,3.74
intervention,0,6,3.74,3.74
due,0,6,3.74,3.74
final,0,6,3.74,3.74
emotionally,0,6,3.74,3.74
accused,0,6,3.74,3.74
latter,1,13,3.53,3.53
risk,4,27,3.53,3.53
emotional,3,22,3.27,3.27
towards,3,22,3.27,3.27
present,3,22,3.27,3.27
considerations_,0,5,3.12,3.12
important,0,5,3.12,3.12
seeking,0,5,3.12,3.12
personality,0,5,3.12,3.12
false,0,5,3.12,3.12
claim,0,5,3.12,3.12
many,0,5,3.12,3.12
girl,0,5,3.12,3.12
success,0,5,3.12,3.12
situations,0,5,3.12,3.12
professional,0,5,3.12,3.12
highly,0,5,3.12,3.12
put,0,5,3.12,3.12
point,0,5,3.12,3.12
repeatedly,0,5,3.12,3.12
referred,0,5,3.12,3.12
review,0,5,3.12,3.12
