question,bucket,lang,gold_route
What positive obligations does the State have to enforce contact rights?,1,en,retrieval
How does the ECHR assess a child's refusal to see a parent?,1,en,retrieval
What role does the passage of time play in parent-child reunification cases?,1,en,retrieval
Under what conditions is coercive enforcement of contact against the child's will justified?,1,en,retrieval
How do courts weigh the best interests of the child against a parent's contact rights?,1,en,retrieval
What does the Court consider an effective remedy in contact-enforcement cases?,1,en,retrieval
When can custody be transferred to the other parent because of alienating behaviour?,1,en,retrieval
What is the margin of appreciation of domestic courts in custody disputes?,1,en,retrieval
How is expert psychological evidence treated in alienation cases?,1,en,retrieval
What weight is given to the child's expressed wishes in contact proceedings?,1,en,retrieval
"Wann ist von einer Vollzugsmaßnahme abzusehen, wenn sie dem Kindeswohl widerspricht?",1,de,retrieval
Welche Voraussetzungen gelten für die gemeinsame Obsorge nach Trennung der Eltern?,1,de,retrieval
Wie begründen Gerichte die Einschränkung des Kontaktrechts?,1,de,retrieval
Welche Rolle spielt der Loyalitätskonflikt des Kindes bei Kontaktrechtsentscheidungen?,1,de,retrieval
Unter welchen Voraussetzungen kann einem Elternteil die Obhut entzogen werden?,1,de,retrieval
Wie wird Bindungstoleranz in der Rechtsprechung bewertet?,1,de,retrieval
Was versteht die Rechtsprechung unter Kindeswohlgefährdung?,1,de,retrieval
Wann kann das Kontaktrecht gegen den Willen des Kindes durchgesetzt werden?,1,de,retrieval
Wie unterscheidet sich die Behandlung der Entfremdung vor dem OGH und dem EGMR?,1,de,retrieval
Welche Bedeutung hat die Beeinflussung des Kindes durch einen Elternteil für die Obsorgeentscheidung?,1,de,retrieval
How many cases against Norway are in the corpus?,2,en,aggregate
Which respondent state has the most cases on contact rights?,2,en,aggregate
What proportion of merits judgments found a violation of Article 8?,2,en,aggregate
How many judgments were delivered after 2020?,2,en,aggregate
What is the number of communicated cases per country?,2,en,aggregate
How has the number of contact-rights cases changed over the years?,2,en,aggregate
What percentage of the corpus are admissibility decisions?,2,en,aggregate
Which importance level is most common among the judgments?,2,en,aggregate
How many Swiss decisions come from the canton of Zurich?,2,en,aggregate
What is the average time between communication of a case and the judgment?,2,en,aggregate
Wie viele Fälle betreffen Österreich?,2,de,aggregate
Wie hoch ist der Anteil der Verletzungsurteile?,2,de,aggregate
Wie oft wurde Artikel 8 verletzt?,2,de,aggregate
Wie viele Entscheidungen stammen aus dem Jahr 2023?,2,de,aggregate
